user_id,city,age,reg_method,reg_date,ex_date,gender,E_DAY,total_listen,rec_genre
13827,14,29,9,20130112,20180203,female,1814,73.0,5.0
6618,13,19,4,20160313,20180106,female,658,58.0,11.0
7615,22,33,9,20060314,20170930,female,4310,26.0,7.0
15535,13,48,9,20110402,20171003,female,2465,83.0,7.0
17708,18,20,4,20160102,20161105,female,729,14.0,3.0
17849,15,41,9,20060330,20170910,male,4294,87.0,5.0
714,15,37,3,20120725,20171005,male,1985,48.0,10.0
9824,22,19,3,20160221,20171022,male,679,156.0,8.0
4579,14,27,9,20110224,20171026,female,2502,357.0,11.0
23916,4,31,4,20151227,20170316,male,735,0.0,4.0
13958,14,40,3,20120711,20170921,female,1999,21.0,6.0
8686,15,24,9,20120814,20171009,female,1965,43.0,6.0
11445,22,20,4,20161231,20171004,male,365,78.0,12.0
6709,5,50,9,20120923,20171106,male,1925,114.0,10.0
24514,14,21,9,20130731,20161119,male,1614,3.0,2.0
15414,15,41,9,20100314,20170907,female,2849,16.0,3.0
1010,4,33,7,20130514,20170908,female,1692,103.0,6.0
22350,5,33,3,20141220,20171006,female,1107,38.0,6.0
13517,22,24,4,20151017,20170410,female,806,54.0,4.0
3483,4,30,9,20090321,20171001,male,3207,252.0,14.0
9381,4,30,9,20150719,20171006,male,896,114.0,11.0
23279,13,27,9,20050417,20160329,female,4641,1.0,2.0
21992,15,37,9,20141231,20180527,female,1096,12.0,5.0
13810,5,41,9,20101204,20180822,male,2584,29.0,3.0
22786,1,0,3,20140116,20170611,female,1445,4.0,3.0
10048,15,28,9,20111110,20170717,female,2243,10.0,2.0
17555,1,34,3,20170107,20170110,male,358,10.0,6.0
19117,1,24,9,20060712,20170928,female,4190,48.0,4.0
5523,5,32,9,20091021,20171002,male,2993,22.0,9.0
19314,1,38,3,20150927,20150928,female,826,5.0,2.0
5,5,20,9,20161219,20170911,male,377,207.0,12.0
6548,13,33,9,20120524,20180310,female,2047,44.0,8.0
10402,5,50,9,20140224,20171001,female,1406,49.0,9.0
8475,5,30,3,20150502,20170910,male,974,57.0,14.0
6012,13,29,3,20111228,20170908,female,2195,120.0,11.0
2536,11,23,9,20130403,20171002,male,1733,169.0,9.0
12252,14,20,7,20150614,20180202,female,931,53.0,8.0
8944,6,30,9,20110626,20171002,female,2380,202.0,10.0
705,21,15,4,20161020,20170709,male,437,30.0,8.0
15209,1,34,7,20130301,20171007,female,1766,36.0,6.0
5986,5,23,4,20151125,20170708,female,767,14.0,5.0
9238,14,29,9,20090416,20170930,male,3181,117.0,7.0
3586,12,28,9,20090919,20180723,male,3025,254.0,12.0
6821,1,28,9,20070810,20170911,female,3796,80.0,7.0
2112,15,39,4,20161011,20170714,male,446,59.0,7.0
15930,15,41,9,20080104,20180527,male,3649,62.0,13.0
19767,15,33,9,20111006,20170920,female,2278,28.0,2.0
12698,15,29,9,20100515,20180405,female,2787,17.0,7.0
24463,4,23,3,20150910,20170912,female,843,17.0,3.0
15120,1,24,3,20150902,20170610,male,851,125.0,7.0
1943,19,30,3,20150815,20170910,male,869,268.0,16.0
8420,13,29,9,20140221,20170927,male,1409,88.0,9.0
6513,5,31,9,20110610,20170923,male,2396,55.0,9.0
4492,17,21,3,20150707,20170726,female,908,21.0,3.0
9748,18,27,3,20120618,20170919,male,2022,45.0,7.0
3614,5,24,7,20131203,20170930,male,1489,116.0,9.0
14665,22,31,9,20080226,20170120,male,3596,18.0,5.0
13013,4,26,9,20150419,20170920,male,987,30.0,7.0
14848,6,29,9,20090414,20180623,male,3183,29.0,2.0
60,22,22,9,20110306,20170913,male,2492,80.0,7.0
4269,5,19,3,20140530,20171005,female,1311,342.0,11.0
7858,15,32,9,20051202,20170710,female,4412,49.0,7.0
1468,11,24,9,20090418,20170910,female,3179,132.0,12.0
10784,13,31,9,20061122,20171201,female,4057,36.0,8.0
23199,4,30,9,20110116,20160711,male,2541,2.0,2.0
1047,6,25,9,20150522,20171001,female,954,211.0,10.0
22138,14,39,9,20120108,20191207,male,2184,17.0,7.0
23425,22,24,9,20110319,20171024,male,2479,1.0,1.0
8570,22,18,3,20170115,20170712,male,350,7.0,5.0
4714,14,30,9,20101022,20170926,female,2627,142.0,11.0
7881,13,17,7,20120105,20170920,female,2187,56.0,8.0
17677,6,27,9,20081015,20170930,male,3364,74.0,7.0
8738,8,23,9,20090608,20170319,female,3128,9.0,7.0
16883,22,30,9,20051218,20170916,female,4396,19.0,4.0
3564,13,27,9,20080913,20171025,male,3396,131.0,7.0
17506,4,34,9,20111003,20171002,female,2281,11.0,7.0
14760,13,44,7,20160203,20171003,male,697,50.0,8.0
6295,13,30,9,20161004,20171121,male,453,100.0,7.0
7861,15,35,9,20080606,20170922,female,3495,128.0,11.0
4065,4,18,4,20160607,20161010,male,572,5.0,3.0
4887,4,25,9,20091101,20170930,female,2982,63.0,6.0
9002,14,34,7,20151213,20170912,male,749,58.0,3.0
6665,14,46,7,20111222,20171007,male,2201,155.0,9.0
9514,6,24,4,20170120,20170222,female,345,109.0,5.0
11326,5,21,9,20120626,20170912,male,2014,50.0,8.0
17760,13,32,9,20110508,20171004,female,2429,5.0,7.0
712,13,19,4,20151014,20171209,male,809,301.0,11.0
24378,17,34,9,20111025,20170610,male,2259,4.0,2.0
3941,14,38,7,20100303,20170923,male,2860,40.0,7.0
5576,15,27,3,20150901,20170429,female,852,58.0,10.0
107,13,48,3,20130509,20180122,female,1697,64.0,11.0
15107,6,19,3,20150215,20170909,male,1050,36.0,7.0
23316,22,25,9,20141004,20170709,female,1184,3.0,3.0
17196,22,26,4,20160624,20170107,male,555,29.0,4.0
20169,5,36,7,20101208,20170916,female,2580,6.0,4.0
9732,13,32,7,20101213,20171005,female,2575,103.0,8.0
10375,13,54,9,20100928,20170930,female,2651,241.0,5.0
22110,5,41,9,20070424,20170930,female,3904,29.0,2.0
10556,4,28,7,20151108,20170808,male,784,79.0,9.0
11162,13,31,9,20140920,20171117,male,1198,27.0,10.0
9586,13,22,9,20160829,20180505,male,489,186.0,8.0
15782,13,29,7,20101221,20171003,male,2567,118.0,8.0
13950,13,21,3,20130402,20171005,female,1734,126.0,6.0
11225,14,30,9,20080305,20171001,male,3588,11.0,1.0
24273,5,41,9,20101231,20170809,male,2557,14.0,2.0
19495,15,17,4,20160301,20161118,male,670,12.0,6.0
4074,13,25,9,20041115,20170601,male,4794,180.0,8.0
12812,14,20,9,20110321,20170930,male,2477,268.0,9.0
20107,11,27,9,20081219,20170221,female,3299,30.0,6.0
12669,13,44,7,20110924,20171007,female,2290,95.0,6.0
23002,15,15,4,20161009,20170723,female,448,3.0,2.0
4302,15,30,7,20110430,20180404,female,2437,134.0,6.0
22587,13,22,9,20081130,20170705,male,3318,34.0,6.0
8621,9,26,9,20130302,20170922,male,1765,98.0,5.0
10210,5,32,9,20080306,20170916,male,3587,222.0,9.0
4155,13,20,9,20140307,20171020,female,1395,211.0,12.0
14004,18,20,9,20120111,20170604,male,2181,30.0,4.0
7610,4,23,9,20111002,20170306,male,2282,107.0,6.0
4133,7,33,9,20081004,20170930,male,3375,557.0,9.0
15438,15,31,9,20120916,20170905,male,1932,0.0,2.0
22,13,34,9,20050703,20171027,male,4564,29.0,7.0
10152,13,35,9,20100917,20170923,male,2662,108.0,4.0
16328,18,0,3,20150215,20170917,female,1050,31.0,4.0
4940,5,27,4,20151215,20170914,male,747,38.0,10.0
22757,15,20,9,20090322,20170122,female,3206,48.0,6.0
18516,12,35,9,20130121,20180214,female,1805,85.0,6.0
23493,6,16,3,20170119,20170122,male,346,16.0,4.0
2205,14,30,9,20110831,20171006,male,2314,24.0,7.0
6402,13,22,3,20120810,20170909,male,1969,168.0,12.0
15394,15,49,9,20060928,20170930,male,4112,8.0,4.0
13973,6,24,9,20130319,20170925,female,1748,16.0,7.0
24091,14,24,9,20110518,20171120,female,2419,7.0,4.0
15883,13,45,3,20140130,20161206,male,1431,46.0,9.0
5983,22,24,3,20140530,20171007,female,1311,29.0,10.0
7334,22,19,7,20160916,20170915,male,471,252.0,8.0
12290,5,26,7,20110829,20171004,male,2316,132.0,9.0
21436,13,52,9,20110412,20181011,male,2455,37.0,2.0
14285,22,23,3,20141115,20170917,male,1142,55.0,5.0
6454,13,24,3,20130412,20170918,female,1724,37.0,8.0
11831,13,30,9,20101130,20170909,male,2588,112.0,11.0
17456,13,23,9,20051205,20170709,male,4409,0.0,4.0
13316,15,27,3,20150406,20181012,male,1000,24.0,4.0
6085,18,33,7,20160111,20170708,male,720,148.0,9.0
7276,13,31,9,20120118,20160311,male,2174,3.0,3.0
17143,6,54,9,20070131,20170304,male,3987,8.0,6.0
