song_id,length,genre,artist,composer,lyricist,language,isrc
5981,273554,465,330,1787,1533,3,TWC950206108
5767,228623,465,633,484,1057,3,TWA531398021
8128,257602,458,777,1916,2115,3,TWAY31508002
1992,199157,458,548,1011,1904,3,TWA471596001
2665,246015,465,671,1407,1362,3,TWK231306302
4270,226951,465,477,1545,1480,3,TWK231002705
3523,292571,465,462,2150,1576,3,HKH621401004
4529,240326,465,503,1396,1564,3,TWK230801105
774,226742,465,446,2043,2094,3,TWK230700701
1168,238132,458,875,2063,2124,3,TWB511692402
1357,244819,458,14,2023,2061,3,TWA771201085
9405,290110,465,777,1916,2117,3,TWM831200103
724,228717,465,385,396,358,31,KRA531134002
2020,246491,465,490,1356,1289,3,TWF711200029
225,333635,465,774,1912,1967,3,TWJ010900508
1803,263418,465,774,1912,1967,3,TWJ011100408
4931,208004,465,850,2073,1256,24,HKD049800015
4814,264359,465,477,1618,1623,3,TWK231303908
4115,253492,465,499,1384,1576,3,TWK970400709
3678,326844,465,786,441,1097,10,TWA531484810
9635,299026,465,786,1924,1930,3,TWL530800002
7334,244088,458,639,1693,2234,3,TWD951634103
9240,222649,1609,70,156,140,52,GBARL1400296
9398,195674,458,720,897,824,3,TWA470722002
8347,239490,465,503,1396,2238,3,TWK231104602
440,318624,458,892,1740,1761,3,TWCC31600009
5612,291422,2022,661,1772,1944,3,TWJ010900211
4087,232698,465,826,1845,1886,10,TWT951600006
5512,221831,465,794,1371,1316,3,TWF670900208
8235,244621,465,223,682,630,52,SEBGA1500224
9358,244192,921,902,2161,2200,3,TWA211226701
1523,220577,458,756,870,1457,3,HKD251600024
9221,247640,2157,676,2086,2157,10,TWI431603219
8360,229668,465,446,2043,2094,3,TWA459964607
1402,427572,465,446,2043,2094,3,TWA450479303
572,256313,458,499,1384,1576,3,TWK970500912
2566,244636,458,710,709,655,3,TWA471111002
4892,233743,465,446,1573,2094,3,TWA450689704
3663,176543,465,391,1039,959,3,CNE041500061
1921,250357,465,872,1576,1564,3,MYPN11313101
6438,319007,829,457,2017,2078,3,TWE970901602
9622,237714,465,818,1964,2021,3,TWJ010900304
6983,260597,465,633,547,1096,3,TWA531398023
8122,200489,1616,194,804,758,52,UK8E21600401
5049,264359,458,804,1538,1510,3,TWS411400040
4561,276349,465,474,1170,63,24,HKC840800282
8470,205659,465,876,2089,2136,3,HKD250331804
4540,290690,465,845,1838,1866,3,TWA210923801
6474,200310,139,61,135,127,52,USRC11501051
4374,265822,465,692,1384,1576,3,TWC230107206
9621,198791,465,593,630,575,3,HKI491267101
5866,247745,465,603,1576,1564,3,TWA211429504
4027,247222,458,710,709,659,3,TWA470714009
5150,282679,465,714,1339,1480,3,TWA770400217
8924,301871,465,566,1554,1528,3,TWO171100007
8753,395947,465,446,2043,2094,3,TWK231307019
4016,276897,465,53,1657,1672,3,TWD631518101
4239,249208,921,391,1304,1236,3,TWAK11600021
7704,375118,465,446,2043,2094,3,TWA450065412
5699,83173,465,639,1692,1709,3,TWD951234112
733,228480,458,783,362,339,3,TWAG11600601
1590,237600,458,467,1314,1248,3,TWA451611141
1567,161149,1609,373,64,57,52,USQX91602095
434,320470,465,633,1679,1409,3,TWB671005201
3708,238550,465,499,1384,1576,3,TWK970200309
6854,300408,458,580,1559,1960,3,TWJ011400102
4205,279301,465,481,1985,1209,3,TWA450688907
4350,243304,444,19,700,647,31,TWA531700493
7379,191346,1616,162,917,843,52,NLS241601718
5259,239020,465,363,1129,2260,3,TWA531642303
3407,217129,458,499,1384,1422,3,TWK970400816
7002,225175,458,727,1149,1048,3,TWD951643213
