user_id,region,college,major,social_position,month,weekday,hour,DB
U0002,R01,C0002,M09,S005,3.0,3,21,DB048
U0003,R01,C0003,M01,S001,3.0,2,12,DB048
U0003,R01,C0003,M01,S001,3.0,2,13,DB048
U0006,R01,C0001,M11,S005,3.0,2,14,DB055
U0005,R01,C0001,M08,S005,3.0,2,14,DB044
U0007,R01,C0001,M08,S005,3.0,2,14,DB044
U0009,R01,C0001,M06,S005,3.0,2,15,DB055
U0007,R01,C0001,M08,S005,3.0,2,15,DB077
U0008,R01,C0001,M04,S005,3.0,2,16,DB031
U0010,R01,C0002,M06,S001,3.0,2,16,DB030
U0010,R01,C0002,M06,S001,3.0,2,16,DB048
U0010,R01,C0002,M06,S001,3.0,2,16,DB048
U0011,R01,C0001,M04,S006,3.0,2,16,DB048
U0012,R01,C0004,M08,S004,3.0,2,16,DB008
U0012,R01,C0004,M08,S004,3.0,2,16,DB008
U0012,R01,C0004,M08,S004,3.0,2,16,DB008
U0014,R01,C0001,M02,S005,3.0,2,17,DB004
U0014,R01,C0001,M02,S005,3.0,2,17,DB004
U0016,R01,C0001,M09,S006,3.0,2,17,DB018
U0015,R01,C0001,M01,S005,3.0,2,17,DB010
U0017,R01,C0001,M04,S006,3.0,2,17,DB048
U0015,R01,C0001,M01,S005,3.0,2,17,DB032
U0012,R01,C0004,M08,S004,3.0,2,18,DB060
U0020,R01,C0001,M04,S005,3.0,2,19,DB018
U0021,R01,C0003,M01,S005,3.0,2,20,DB048
U0022,R01,C0001,M05,S006,3.0,2,20,DB031
U0024,R01,C0008,M09,S007,3.0,7,0,DB020
U0024,R01,C0008,M09,S007,3.0,7,0,DB020
U0025,R01,C0003,M01,S001,3.0,7,0,DB031
U0024,R01,C0008,M09,S007,3.0,7,0,DB029
U0024,R01,C0008,M09,S007,3.0,7,0,DB020
U0024,R01,C0008,UNKNOWN,S007,3.0,7,0,DB016
U0024,R01,C0008,M09,S007,3.0,7,0,DB020
U0024,R01,C0008,M09,S007,3.0,7,0,DB044
U0024,R01,C0008,M09,S007,3.0,7,0,DB048
U0024,R01,C0008,M09,S007,3.0,7,0,DB048
U0024,R01,C0008,M09,S007,3.0,7,0,DB040
U0026,R02,C0009,M07,S006,3.0,7,0,DB031
U0026,R02,C0009,M07,S006,3.0,7,0,DB031
U0003,R01,C0003,M01,S001,3.0,7,2,DB031
U0028,R01,C0006,M11,S004,3.0,7,3,DB031
U0028,R01,C0006,M11,S004,3.0,7,3,DB048
U0028,R01,C0006,M11,S004,3.0,7,3,DB048
U0029,R01,C0001,M05,S006,3.0,7,9,DB044
U0030,R01,C0001,UNKNOWN,S005,3.0,7,9,DB065
U0031,R02,C0011,M02,S004,3.0,7,9,DB039
U0031,R02,C0011,M02,S004,3.0,7,9,DB039
U0032,R01,C0001,M01,S005,3.0,7,10,DB031
U0033,R01,C0012,M09,S004,3.0,7,11,DB018
U0033,R01,C0012,M09,S004,3.0,7,13,DB031
U0035,R01,C0013,M08,S004,3.0,7,13,DB010
U0036,R01,C0001,M04,S006,3.0,7,14,DB044
U0037,R01,C0014,M04,S005,3.0,7,14,DB031
U0036,R01,C0001,M04,S006,3.0,7,14,DB051
U0038,R01,C0001,M03,S006,3.0,7,14,DB065
U0038,R01,C0001,M03,S006,3.0,7,14,DB065
U0037,R01,C0014,M04,S005,3.0,7,14,DB048
U0037,R01,C0014,M04,S005,3.0,7,14,DB048
U0039,R01,C0014,M04,S005,3.0,7,15,DB048
U0040,R01,C0015,M03,S008,3.0,7,18,DB059
U0009,R01,C0001,M06,S005,3.0,7,18,DB051
U0036,R01,C0001,M04,S006,3.0,7,19,DB048
U0009,R01,C0001,M06,S005,3.0,7,19,DB058
U0009,R01,C0001,M06,S005,3.0,7,19,DB010
U0040,R01,C0015,M03,S008,3.0,7,19,DB059
U0009,R01,C0001,UNKNOWN,S005,3.0,7,19,DB058
U0009,R01,C0001,M06,S005,3.0,7,19,DB058
U0009,R01,C0001,M06,S005,3.0,7,19,DB058
U0042,R01,C0001,M05,S006,3.0,7,21,DB031
U0043,R01,C0001,M04,S005,3.0,7,21,DB031
U0044,R01,C0015,M03,S008,3.0,7,22,DB065
U0044,R01,C0015,M03,S008,3.0,7,22,DB059
U0045,R01,C0003,M01,S001,3.0,7,22,DB018
U0046,R02,C0010,M08,S005,3.0,7,22,DB031
U0036,R01,C0001,M04,S006,3.0,7,22,DB048
U0047,R01,C0008,M09,S004,3.0,7,23,DB018
U0047,R01,C0008,M09,S004,3.0,7,23,DB018
