id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,realincome,pred,pred_prob
ID12703,45,0,1,21881.6,0,0,1,1,1,0,21881.6,1,1.0
ID12811,67,1,0,39137.0,0,0,1,1,0,0,39137.0,1,1.0
ID12823,33,1,2,12990.3,0,0,1,0,1,0,12990.3,1,1.0
ID12821,60,0,3,27558.6,0,0,1,1,0,0,27558.6,1,1.0
ID12820,42,0,3,35712.8,0,2,0,0,1,1,17856.4,1,1.0
ID12818,54,0,3,44982.1,0,0,1,1,0,0,44982.1,1,1.0
ID12817,47,1,0,36766.0,0,0,0,0,1,0,36766.0,1,1.0
ID12814,57,1,0,37548.0,0,2,0,0,1,0,18774.0,1,1.0
ID12812,47,1,2,35140.1,1,2,1,0,0,0,17570.05,1,1.0
ID12810,20,0,0,18824.1,0,0,0,0,1,1,18824.1,1,1.0
ID12829,31,0,0,23025.4,1,0,0,0,1,1,23025.4,1,1.0
ID12808,58,0,2,40491.4,0,0,1,1,1,0,40491.4,1,1.0
ID12804,60,1,0,19849.0,0,1,0,1,1,0,19849.0,1,1.0
ID12802,52,0,3,33043.5,0,2,0,0,0,0,16521.75,1,1.0
ID12798,37,1,0,31979.9,0,1,0,1,0,1,31979.9,1,1.0
ID12797,65,0,2,47289.2,0,1,1,1,1,0,47289.2,1,1.0
ID12791,56,0,3,50209.7,0,2,1,1,1,0,25104.85,1,1.0
ID12790,45,0,3,38496.9,0,2,1,0,1,0,19248.45,1,1.0
ID12825,18,0,2,14550.5,1,0,0,1,1,1,14550.5,1,1.0
ID12830,46,0,0,17049.3,0,1,0,1,0,0,17049.3,1,1.0
ID12784,37,1,2,17629.3,1,1,0,1,1,1,17629.3,1,1.0
ID12851,41,0,2,18093.4,1,1,0,0,1,1,18093.4,1,1.0
ID12891,39,1,0,34140.8,1,2,0,1,1,0,17070.4,1,1.0
ID12883,33,1,3,15228.7,1,1,0,1,1,0,15228.7,1,1.0
ID12873,43,1,3,28741.6,0,0,0,0,0,0,28741.6,1,1.0
ID12868,29,0,2,25076.7,0,1,0,1,1,0,25076.7,1,1.0
ID12860,31,0,0,24609.7,1,0,0,0,1,1,24609.7,1,1.0
ID12855,65,0,0,47199.0,1,1,0,1,1,0,47199.0,1,1.0
ID12853,56,0,2,48758.6,0,2,0,1,1,0,24379.3,1,1.0
ID12849,56,0,1,37699.6,0,1,0,1,0,0,37699.6,1,1.0
ID12831,56,0,0,41523.0,0,0,0,1,1,0,41523.0,1,1.0
ID12848,22,0,3,16426.2,1,1,1,1,1,1,16426.2,1,1.0
ID12846,57,1,0,18732.8,1,0,1,0,0,1,18732.8,1,1.0
ID12845,41,0,2,15064.3,0,0,1,1,1,0,15064.3,1,1.0
ID12840,26,1,2,12170.8,0,0,1,0,1,0,12170.8,1,1.0
ID12838,41,0,3,38284.7,1,1,1,0,1,0,38284.7,1,1.0
ID12836,66,0,0,46738.7,1,2,0,1,0,1,23369.35,1,1.0
ID12833,18,1,0,13376.6,1,0,1,0,1,0,13376.6,1,1.0
ID12704,50,1,3,46794.4,1,2,0,1,0,1,23397.2,1,1.0
ID12786,18,0,3,15800.6,0,0,1,0,1,0,15800.6,1,1.0
ID12744,60,0,0,27372.7,1,1,1,0,1,0,27372.7,1,1.0
ID12745,52,0,3,16700.2,0,1,1,1,1,1,16700.2,1,1.0
ID12743,66,1,0,43720.4,0,1,0,1,0,1,43720.4,1,1.0
ID12741,44,1,2,26553.5,0,1,0,0,0,0,26553.5,1,1.0
ID12733,18,1,2,10523.3,1,0,0,0,0,1,10523.3,1,1.0
ID12731,32,1,1,23805.5,0,0,1,1,0,0,23805.5,1,1.0
ID12730,25,0,0,11171.0,0,0,1,1,1,0,11171.0,1,1.0
ID12729,58,1,1,41114.2,1,2,1,1,1,1,20557.1,1,1.0
ID12726,20,0,2,13013.9,0,2,0,1,0,1,6506.95,1,1.0
ID12721,40,1,3,37227.8,0,1,1,1,1,0,37227.8,1,1.0
ID12719,26,1,3,13196.2,1,3,0,1,1,0,4398.733333333334,1,1.0
ID12718,56,0,1,47315.3,1,3,1,1,0,0,15771.766666666668,1,1.0
ID12716,44,1,3,34961.7,1,1,0,0,0,1,34961.7,1,1.0
ID12712,26,0,0,22378.5,0,0,1,0,1,1,22378.5,1,1.0
ID12710,57,0,3,19621.3,1,1,1,0,1,0,19621.3,1,1.0
ID12708,50,0,0,27740.8,1,1,1,1,0,1,27740.8,1,1.0
ID12706,20,1,0,16688.5,0,1,0,1,1,1,16688.5,1,1.0
ID12781,44,1,3,23790.4,0,1,0,1,1,0,23790.4,1,1.0
ID12898,54,1,1,29348.8,0,0,0,0,1,1,29348.8,1,1.0
ID12746,61,1,0,26527.9,0,1,0,0,1,0,26527.9,1,1.0
ID12747,65,0,0,58002.2,0,0,0,1,1,0,58002.2,1,1.0
ID12778,64,1,3,29107.5,0,0,1,0,1,0,29107.5,1,1.0
ID12776,54,0,0,48375.5,1,2,1,1,1,0,24187.75,1,1.0
ID12774,42,1,2,23174.9,1,1,1,0,0,1,23174.9,1,1.0
ID12771,23,1,0,18233.1,0,0,1,0,0,0,18233.1,1,1.0
ID12770,28,1,0,17846.2,0,0,0,1,1,0,17846.2,1,1.0
ID12768,46,1,3,32101.4,0,3,0,1,1,0,10700.466666666667,1,1.0
ID12766,44,0,0,31833.7,0,2,0,1,1,0,15916.85,1,1.0
ID12764,46,0,3,41406.5,1,1,0,1,1,0,41406.5,1,1.0
ID12763,51,0,1,16940.2,1,1,0,1,1,0,16940.2,1,1.0
ID12761,64,1,1,60176.1,1,3,0,1,1,0,20058.7,1,1.0
ID12760,31,1,0,23633.3,0,1,1,0,1,1,23633.3,1,1.0
ID12756,58,1,2,37681.4,0,0,1,0,1,1,37681.4,1,1.0
ID12754,18,1,3,5960.4,1,0,0,1,1,0,5960.4,1,1.0
ID12753,40,0,0,32089.9,0,0,0,1,1,0,32089.9,1,1.0
ID12752,61,1,1,40315.6,1,2,1,1,1,0,20157.8,1,1.0
ID12723,54,1,1,49986.7,1,1,1,1,1,0,49986.7,1,0.75
ID12884,66,0,0,60635.6,1,1,1,1,1,1,60635.6,1,0.75
ID12896,66,1,0,58792.6,0,1,1,1,1,1,58792.6,1,0.75
ID12782,44,1,1,39202.2,0,1,1,1,1,1,39202.2,1,0.75
