custid,총구매액,구매건수,평균구매가격,구매브랜드종류,내점일수,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,점심_구매건수,아침구매액,점심구매액,봄구매액,여름구매액,가을구매액,겨울구매액,구매브랜드가치,gender
100001,3439000,25,137560,19,16,5.0,4.0,7.0,9.0,13.0,11.0,353652.0,299244.0,190428.0,244836.0,136020.0,108816.0,2613640.0,1
100002,2073090,39,53156,18,29,13.0,8.0,10.0,8.0,4.0,25.0,36251.282,226570.513,90628.205,72502.564,117816.667,72502.564,956810.769,0
100003,1303800,22,59264,14,12,6.0,7.0,3.0,6.0,3.0,18.0,773372.727,4640236.364,773372.727,1546745.455,1546745.455,1804536.364,829690.909,0
100004,6696522,46,145577,31,22,5.0,15.0,9.0,17.0,0.0,42.0,0.0,1793217.391,384260.87,725826.087,213478.261,640434.783,4512873.522,0
100005,1297640,26,49909,13,9,18.0,0.0,5.0,3.0,0.0,26.0,0.0,885000.0,170192.308,102115.385,612692.308,0.0,648820.0,0
100006,1071000,17,63000,11,12,3.0,12.0,2.0,0.0,0.0,6.0,0.0,1263600.0,421200.0,0.0,631800.0,2527200.0,693000.0,0
100007,565400,8,70675,5,4,1.0,0.0,0.0,7.0,1.0,7.0,102037.5,714262.5,0.0,714262.5,102037.5,0.0,353375.0,1
100008,558610,9,62068,8,9,4.0,4.0,1.0,0.0,0.0,5.0,0.0,417888.889,83577.778,0.0,334311.111,334311.111,496542.222,0
100009,3889520,44,88398,30,21,5.0,17.0,5.0,17.0,8.0,30.0,208254.545,780954.545,130159.091,442540.909,130159.091,442540.909,2651945.455,1
100010,2318515,26,89174,10,16,9.0,3.0,10.0,4.0,3.0,23.0,51018.462,391141.538,170061.538,68024.615,153055.385,51018.462,891736.538,1
100011,5643401,82,68822,32,40,19.0,20.0,9.0,34.0,9.0,64.0,64756.098,460487.805,64756.098,244634.146,136707.317,143902.439,2202302.829,0
100012,2264840,30,75495,27,17,2.0,3.0,9.0,16.0,15.0,14.0,418300.0,390413.333,250980.0,446186.667,55773.333,83660.0,2038356.0,0
100013,487300,7,69614,5,4,4.0,0.0,0.0,3.0,3.0,4.0,811028.571,1081371.429,0.0,811028.571,1081371.429,0.0,348071.429,0
100014,682472,14,48748,7,10,4.0,4.0,4.0,2.0,0.0,2.0,0.0,413872.857,827745.714,413872.857,827745.714,827745.714,341236.0,1
100015,3705689,15,247046,11,6,8.0,1.0,0.0,6.0,2.0,6.0,38000.0,114000.0,0.0,114000.0,152000.0,19000.0,2717505.267,1
100016,6722660,32,210083,18,15,9.0,4.0,15.0,4.0,5.0,20.0,346093.75,1384375.0,1038281.25,276875.0,622968.75,276875.0,3781496.25,0
100017,6032500,75,80433,33,29,14.0,23.0,21.0,17.0,7.0,59.0,40469.333,341098.667,121408.0,98282.667,80938.667,132970.667,2654300.0,0
100018,2225600,16,139100,9,11,4.0,0.0,8.0,4.0,8.0,8.0,3233200.0,3233200.0,3233200.0,1616600.0,1616600.0,0.0,1251900.0,0
100019,414000,4,103500,3,2,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2305740.0,0.0,0.0,0.0,2305740.0,310500.0,0
100020,15107942,47,321446,32,23,21.0,4.0,5.0,17.0,6.0,24.0,457220.426,1828881.702,381017.021,1295457.872,1600271.489,304813.617,10286258.383,1
100021,229000,3,76333,3,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,429400.0,0.0,0.0,0.0,429400.0,229000.0,0
100022,1981400,25,79256,17,14,6.0,11.0,3.0,5.0,1.0,23.0,76244.0,1753612.0,228732.0,381220.0,457464.0,838684.0,1347352.0,0
100023,191000,3,63667,3,1,0.0,0.0,0.0,3.0,0.0,3.0,0.0,208900.0,0.0,208900.0,0.0,0.0,191000.0,0
100024,10525869,98,107407,42,34,26.0,31.0,16.0,25.0,22.0,57.0,195411.633,506293.776,142117.551,222058.673,230941.02,275352.755,4511086.714,0
100025,14726596,168,87658,84,53,47.0,25.0,44.0,52.0,93.0,62.0,17160.714,11440.476,8119.048,9595.238,8672.619,4613.095,7363298.0,0
100026,3525382,29,121565,16,19,3.0,7.0,11.0,8.0,4.0,23.0,56204.138,323173.793,154561.379,112408.276,42153.103,98357.241,1945038.345,1
